t_sec,loop_dt_ms,inst_fps
2.007750244140625000e+02,6.590605163574218750e+01,1.517311382293701172e+01
2.008084564208984375e+02,3.343605804443359375e+01,2.990783119201660156e+01
2.008389587402343750e+02,3.049921989440917969e+01,3.278772354125976562e+01
2.008807373046875000e+02,4.177284240722656250e+01,2.393899726867675781e+01
2.009425506591796875e+02,6.181502532958984375e+01,1.617729568481445312e+01
2.009764404296875000e+02,3.388786315917968750e+01,2.950909042358398438e+01
2.010399017333984375e+02,6.346607208251953125e+01,1.575644969940185547e+01
2.010740051269531250e+02,3.409719467163085938e+01,2.932792663574218750e+01
2.011107330322265625e+02,3.673767852783203125e+01,2.722001075744628906e+01
2.011793975830078125e+02,6.865930175781250000e+01,1.456466865539550781e+01
2.012449493408203125e+02,6.556082153320312500e+01,1.525301170349121094e+01
2.013098602294921875e+02,6.490302276611328125e+01,1.540760326385498047e+01
2.013838195800781250e+02,7.396697998046875000e+01,1.351954650878906250e+01
2.014404144287109375e+02,5.658698272705078125e+01,1.767190933227539062e+01
2.014766845703125000e+02,3.627204895019531250e+01,2.756943702697753906e+01
2.015113830566406250e+02,3.470397186279296875e+01,2.881514549255371094e+01
2.015762023925781250e+02,6.481289672851562500e+01,1.542902755737304688e+01
2.016206207275390625e+02,4.442310333251953125e+01,2.251080894470214844e+01
2.016545715332031250e+02,3.395080566406250000e+01,2.945438194274902344e+01
2.016890258789062500e+02,3.444242477416992188e+01,2.903396034240722656e+01
2.017219848632812500e+02,3.296470642089843750e+01,3.033547401428222656e+01
2.017562713623046875e+02,3.429103088378906250e+01,2.916214370727539062e+01
2.017889251708984375e+02,3.265619277954101562e+01,3.062206268310546875e+01
2.018212738037109375e+02,3.234886932373046875e+01,3.091298103332519531e+01
2.018552093505859375e+02,3.392791748046875000e+01,2.947425270080566406e+01
2.018911132812500000e+02,3.591108322143554688e+01,2.784655570983886719e+01
2.019230346679687500e+02,3.192400932312011719e+01,3.132438659667968750e+01
2.019575653076171875e+02,3.452706146240234375e+01,2.896278953552246094e+01
2.019891052246093750e+02,3.153586387634277344e+01,3.170992851257324219e+01
2.020238952636718750e+02,3.478384017944335938e+01,2.874898147583007812e+01
2.020560302734375000e+02,3.213810729980468750e+01,3.111570930480957031e+01
2.020909271240234375e+02,3.490018844604492188e+01,2.865314102172851562e+01
2.021228332519531250e+02,3.191089630126953125e+01,3.133725738525390625e+01
2.021590270996093750e+02,3.618693542480468750e+01,2.763428306579589844e+01
2.021906585693359375e+02,3.163790702819824219e+01,3.160765266418457031e+01
2.022219085693359375e+02,3.125309944152832031e+01,3.199682617187500000e+01
2.022561187744140625e+02,3.420114517211914062e+01,2.923878669738769531e+01
2.022916107177734375e+02,3.550004959106445312e+01,2.816897392272949219e+01
2.023243865966796875e+02,3.276491165161132812e+01,3.052045440673828125e+01
