kp0_conf,kp1_conf,kp2_conf,kp3_conf,kp4_conf,kp5_conf,kp6_conf,kp7_conf,kp8_conf,kp9_conf,kp10_conf,kp11_conf,kp12_conf,kp13_conf,kp14_conf,kp15_conf,kp16_conf
9.806746840476989746e-01,9.485200643539428711e-01,9.375238418579101562e-01,8.134737610816955566e-01,7.188655734062194824e-01,9.961650371551513672e-01,9.947082996368408203e-01,9.863213896751403809e-01,9.792206287384033203e-01,9.695672988891601562e-01,9.593876004219055176e-01,9.980812072753906250e-01,9.977082014083862305e-01,9.939371347427368164e-01,9.931839108467102051e-01,9.712213873863220215e-01,9.693977832794189453e-01
9.806746840476989746e-01,9.485200643539428711e-01,9.375238418579101562e-01,8.134737610816955566e-01,7.188655734062194824e-01,9.961650371551513672e-01,9.947082996368408203e-01,9.863213896751403809e-01,9.792206287384033203e-01,9.695672988891601562e-01,9.593876004219055176e-01,9.980812072753906250e-01,9.977082014083862305e-01,9.939371347427368164e-01,9.931839108467102051e-01,9.712213873863220215e-01,9.693977832794189453e-01
9.813097715377807617e-01,9.452329874038696289e-01,9.440879821777343750e-01,7.920200824737548828e-01,7.512975335121154785e-01,9.958142638206481934e-01,9.954511523246765137e-01,9.844224452972412109e-01,9.827431440353393555e-01,9.663460850715637207e-01,9.645289778709411621e-01,9.980857372283935547e-01,9.979742169380187988e-01,9.941111207008361816e-01,9.941276311874389648e-01,9.727927446365356445e-01,9.732004404067993164e-01
9.813097715377807617e-01,9.452329874038696289e-01,9.440879821777343750e-01,7.920200824737548828e-01,7.512975335121154785e-01,9.958142638206481934e-01,9.954511523246765137e-01,9.844224452972412109e-01,9.827431440353393555e-01,9.663460850715637207e-01,9.645289778709411621e-01,9.980857372283935547e-01,9.979742169380187988e-01,9.941111207008361816e-01,9.941276311874389648e-01,9.727927446365356445e-01,9.732004404067993164e-01
9.815044999122619629e-01,9.434145092964172363e-01,9.477433562278747559e-01,7.729999423027038574e-01,7.648577690124511719e-01,9.953548908233642578e-01,9.955255389213562012e-01,9.825417995452880859e-01,9.836010336875915527e-01,9.637104272842407227e-01,9.660148024559020996e-01,9.979306459426879883e-01,9.979315996170043945e-01,9.937868118286132812e-01,9.941495656967163086e-01,9.720048308372497559e-01,9.733790755271911621e-01
9.815044999122619629e-01,9.434145092964172363e-01,9.477433562278747559e-01,7.729999423027038574e-01,7.648577690124511719e-01,9.953548908233642578e-01,9.955255389213562012e-01,9.825417995452880859e-01,9.836010336875915527e-01,9.637104272842407227e-01,9.660148024559020996e-01,9.979306459426879883e-01,9.979315996170043945e-01,9.937868118286132812e-01,9.941495656967163086e-01,9.720048308372497559e-01,9.733790755271911621e-01
9.796236157417297363e-01,9.440571665763854980e-01,9.401793479919433594e-01,7.656528949737548828e-01,7.086386084556579590e-01,9.932449460029602051e-01,9.927539229393005371e-01,9.789547920227050781e-01,9.763901233673095703e-01,9.605202078819274902e-01,9.571762084960937500e-01,9.957259893417358398e-01,9.955245256423950195e-01,9.872741699218750000e-01,9.872267842292785645e-01,9.477584362030029297e-01,9.484065771102905273e-01
9.778518676757812500e-01,9.450672864913940430e-01,9.353373050689697266e-01,7.673829793930053711e-01,6.759651899337768555e-01,9.910864233970642090e-01,9.895099401473999023e-01,9.735482931137084961e-01,9.663583636283874512e-01,9.536114335060119629e-01,9.446483850479125977e-01,9.921958446502685547e-01,9.914461374282836914e-01,9.756963849067687988e-01,9.742552042007446289e-01,9.027698636054992676e-01,9.011094570159912109e-01
9.721915125846862793e-01,9.406663179397583008e-01,9.174370765686035156e-01,7.686556577682495117e-01,6.150668859481811523e-01,9.894589185714721680e-01,9.841809272766113281e-01,9.694657921791076660e-01,9.472755193710327148e-01,9.469033479690551758e-01,9.213472604751586914e-01,9.905458688735961914e-01,9.884215593338012695e-01,9.755156040191650391e-01,9.711117744445800781e-01,9.169537425041198730e-01,9.098755121231079102e-01
9.721915125846862793e-01,9.406663179397583008e-01,9.174370765686035156e-01,7.686556577682495117e-01,6.150668859481811523e-01,9.894589185714721680e-01,9.841809272766113281e-01,9.694657921791076660e-01,9.472755193710327148e-01,9.469033479690551758e-01,9.213472604751586914e-01,9.905458688735961914e-01,9.884215593338012695e-01,9.755156040191650391e-01,9.711117744445800781e-01,9.169537425041198730e-01,9.098755121231079102e-01
9.719343781471252441e-01,9.510626792907714844e-01,8.995086550712585449e-01,8.518025875091552734e-01,5.809756517410278320e-01,9.949212670326232910e-01,9.835777282714843750e-01,9.846017360687255859e-01,9.309158921241760254e-01,9.660968184471130371e-01,9.005867242813110352e-01,9.944655299186706543e-01,9.898447990417480469e-01,9.788784980773925781e-01,9.634328484535217285e-01,8.975465893745422363e-01,8.596497774124145508e-01
9.729774594306945801e-01,9.309347867965698242e-01,9.317674040794372559e-01,7.479307055473327637e-01,7.240486741065979004e-01,9.908726811408996582e-01,9.909927845001220703e-01,9.674379229545593262e-01,9.680267572402954102e-01,9.428775310516357422e-01,9.445624351501464844e-01,9.928672313690185547e-01,9.928866028785705566e-01,9.795134663581848145e-01,9.803867936134338379e-01,9.346451759338378906e-01,9.373865723609924316e-01
9.729774594306945801e-01,9.309347867965698242e-01,9.317674040794372559e-01,7.479307055473327637e-01,7.240486741065979004e-01,9.908726811408996582e-01,9.909927845001220703e-01,9.674379229545593262e-01,9.680267572402954102e-01,9.428775310516357422e-01,9.445624351501464844e-01,9.928672313690185547e-01,9.928866028785705566e-01,9.795134663581848145e-01,9.803867936134338379e-01,9.346451759338378906e-01,9.373865723609924316e-01
9.568267464637756348e-01,9.371347427368164062e-01,8.974108695983886719e-01,7.854293584823608398e-01,5.341429114341735840e-01,9.912647604942321777e-01,9.908432960510253906e-01,9.668383002281188965e-01,9.492996931076049805e-01,9.465582966804504395e-01,9.230431914329528809e-01,9.945546388626098633e-01,9.943958520889282227e-01,9.886624217033386230e-01,9.861279726028442383e-01,9.660814404487609863e-01,9.599081873893737793e-01
9.692355990409851074e-01,9.387366771697998047e-01,9.178561568260192871e-01,8.112213611602783203e-01,6.969059109687805176e-01,9.932262301445007324e-01,9.877060055732727051e-01,9.748665690422058105e-01,9.481564164161682129e-01,9.497485756874084473e-01,9.171519875526428223e-01,9.945769309997558594e-01,9.926139116287231445e-01,9.819984436035156250e-01,9.767940044403076172e-01,9.297702908515930176e-01,9.186358451843261719e-01
9.691981673240661621e-01,9.399383068084716797e-01,9.132823348045349121e-01,8.213755488395690918e-01,6.818143725395202637e-01,9.939238429069519043e-01,9.878892302513122559e-01,9.781252741813659668e-01,9.488027691841125488e-01,9.552847146987915039e-01,9.189099073410034180e-01,9.951750040054321289e-01,9.931184053421020508e-01,9.837254881858825684e-01,9.780406951904296875e-01,9.341264963150024414e-01,9.215592145919799805e-01
9.696694016456604004e-01,9.424663186073303223e-01,9.110651612281799316e-01,8.321349024772644043e-01,6.705062389373779297e-01,9.944386482238769531e-01,9.879265427589416504e-01,9.801401495933532715e-01,9.479530453681945801e-01,9.584724903106689453e-01,9.181187748908996582e-01,9.955665469169616699e-01,9.934044480323791504e-01,9.851586222648620605e-01,9.791485071182250977e-01,9.391869902610778809e-01,9.258356690406799316e-01
